客户编号,产品编号,投资金额,投资期限,Flag,投资编号,购买时间
customer_001,product_001,100.0,15,1,invest_002,2026-07-13 13:22:59
customer_005,product_002,333.0,60,1,invest_003,2026-03-13 13:23:12
customer_002,product_005,200.0,30,0,invest_001,2026-03-13 13:22:44
customer_001,product_004,10.0,30,0,invest_005,2025-08-13 17:55:57
customer_004,product_006,10.0,15,0,invest_006,2025-07-17 17:25:50
customer_001,product_004,250.0,21,1,invest_004,2025-07-13 17:55:29
customer_005,product_005,30000.0,50,0,invest_010,2024-07-17 17:28:29
customer_006,product_005,1000000.0,5,1,invest_009,2024-07-17 17:27:31
customer_003,product_002,500.0,25,0,invest_008,2024-07-17 17:26:27
customer_005,product_003,250.0,25,1,invest_007,2024-07-17 17:26:05
